sample,total_reads,total_map,unique_map,multi_map,read1_map,read2_map,positive_map,negative_map,splice_map,unsplice_map,proper_map
SHSY5Y_b (SRR4098610),32.451156 M,31.464028 M (96.96 %),31.338791 M (96.57 %),125237 (0.39 %),16.225578 M (50.00 %),16.225578 M (50.00 %),16.713935 M (51.50 %),15.737221 M (48.50 %),9.773426 M (30.12 %),22.677730 M (69.88 %),30.270066 M (93.28 %)
A431_a (SRR629557),48.046290 M,46.704703 M (97.21 %),46.532553 M (96.85 %),172150 (0.36 %),24.023145 M (50.00 %),24.023145 M (50.00 %),24.688104 M (51.38 %),23.358186 M (48.62 %),17.492841 M (36.41 %),30.553449 M (63.59 %),45.376914 M (94.44 %)
U-251 MG_a (SRR629561),52.728416 M,51.329271 M (97.35 %),51.151653 M (97.01 %),177618 (0.34 %),26.364208 M (50.00 %),26.364208 M (50.00 %),27.059202 M (51.32 %),25.669214 M (48.68 %),19.886860 M (37.72 %),32.841556 M (62.28 %),49.928794 M (94.69 %)
U-251 MG_b (SRR629562),21.655002 M,20.800597 M (96.05 %),20.697086 M (95.58 %),103511 (0.48 %),10.827501 M (50.00 %),10.827501 M (50.00 %),11.268304 M (52.04 %),10.386698 M (47.96 %),7.768020 M (35.87 %),13.886982 M (64.13 %),19.944848 M (92.10 %)
U2OS_a (SRR629563),18.592074 M,17.882328 M (96.18 %),17.798736 M (95.73 %),83592 (0.45 %),9.296037 M (50.00 %),9.296037 M (50.00 %),9.661171 M (51.96 %),8.930903 M (48.04 %),6.403152 M (34.44 %),12.188922 M (65.56 %),17.224036 M (92.64 %)
A-549_a (SRR629564),15.295186 M,14.558286 M (95.18 %),14.497324 M (94.78 %),60962 (0.40 %),7.647593 M (50.00 %),7.647593 M (50.00 %),8.004061 M (52.33 %),7.291125 M (47.67 %),5.650907 M (36.95 %),9.644279 M (63.05 %),13.736224 M (89.81 %)
A-549_b (SRR629565),16.674436 M,15.873349 M (95.20 %),15.803107 M (94.77 %),70242 (0.42 %),8.337218 M (50.00 %),8.337218 M (50.00 %),8.724484 M (52.32 %),7.949952 M (47.68 %),6.024646 M (36.13 %),10.649790 M (63.87 %),15.016202 M (90.06 %)
CACO-2_a (SRR629566),17.120764 M,16.297211 M (95.19 %),16.233624 M (94.82 %),63587 (0.37 %),8.560382 M (50.00 %),8.560382 M (50.00 %),8.962477 M (52.35 %),8.158287 M (47.65 %),6.223160 M (36.35 %),10.897604 M (63.65 %),15.383980 M (89.86 %)
CACO-2_b (SRR629568),21.856896 M,20.806301 M (95.19 %),20.722108 M (94.81 %),84193 (0.39 %),10.928448 M (50.00 %),10.928448 M (50.00 %),11.429534 M (52.29 %),10.427362 M (47.71 %),7.790190 M (35.64 %),14.066706 M (64.36 %),19.580816 M (89.59 %)
HEK 293_b (SRR629570),20.889874 M,20.046897 M (95.96 %),19.959772 M (95.55 %),87125 (0.42 %),10.444937 M (50.00 %),10.444937 M (50.00 %),10.862600 M (52.00 %),10.027274 M (48.00 %),6.937458 M (33.21 %),13.952416 M (66.79 %),19.304680 M (92.41 %)
Hep-G2_a (SRR629573),22.753738 M,20.823711 M (91.52 %),20.681166 M (90.89 %),142545 (0.63 %),11.376869 M (50.00 %),11.376869 M (50.00 %),12.313622 M (54.12 %),10.440116 M (45.88 %),7.234742 M (31.80 %),15.518996 M (68.20 %),18.938134 M (83.23 %)
MCF-7_a (SRR629577),17.532070 M,16.668021 M (95.07 %),16.588049 M (94.62 %),79972 (0.46 %),8.766035 M (50.00 %),8.766035 M (50.00 %),9.182807 M (52.38 %),8.349263 M (47.62 %),6.162519 M (35.15 %),11.369551 M (64.85 %),15.690422 M (89.50 %)
MCF-7_b (SRR629578),25.205712 M,24.021152 M (95.30 %),23.907046 M (94.85 %),114106 (0.45 %),12.602856 M (50.00 %),12.602856 M (50.00 %),13.168200 M (52.24 %),12.037512 M (47.76 %),8.627053 M (34.23 %),16.578659 M (65.77 %),22.694186 M (90.04 %)
PC3_a (SRR629581),21.785352 M,20.986277 M (96.33 %),20.913102 M (96.00 %),73175 (0.34 %),10.892676 M (50.00 %),10.892676 M (50.00 %),11.285468 M (51.80 %),10.499884 M (48.20 %),7.761165 M (35.63 %),14.024187 M (64.37 %),20.208122 M (92.76 %)
